,Area Code,Area Name," Total recorded crime
 (excluding fraud) [note 2]",Violence against the person,Homicide,Violence with injury,Violence without injury,Stalking and harassment,Death or serious injury - unlawful driving,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-Residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,Other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes
0,K04000001,ENGLAND AND WALES [note 3],5335806,2103151,710,566603,812561,722574,703,194683,66288,1499623,266283,192060,74223,361045,88212,77465,274999,431619,531329,177644,49094,600170,113824
1,E92000001,ENGLAND ,5017260,1976656,676,534562,766393,674358,667,183094,64197,1428227,256104,185050,71054,350053,82499,71064,260012,408495,493083,166258,46916,551306,107523
2,E12000001,North East,267956,105668,26,28384,37529,39705,24,10023,1688,67875,13540,9764,3776,12348,1350,2939,17410,20288,35125,6417,2153,32014,6993
3,E23000013,Cleveland,73490,28061,10,6460,10414,11169,8,2518,708,19263,4122,3062,1060,3348,379,712,5570,5132,9952,2102,647,8346,1893
4,E23000008,Durham,59145,24964,5,5693,8893,10357,16,2145,185,13166,2959,2093,866,2326,261,411,3563,3646,9399,1389,351,5946,1600
5,E23000007,Northumbria [note 4],135321,52643,11,16231,18222,18179,0,5360,795,35446,6459,4609,1850,6674,710,1816,8277,11510,15774,2926,1155,17722,3500
6,E12000002,North West,786982,323809,95,79877,127123,116562,152,26989,8291,190474,42432,31393,11039,43134,9630,7398,34524,53356,79375,24421,7516,107769,18338
7,E23000006,Cheshire,90504,42296,2,10489,13984,17813,8,3725,413,17113,3263,2465,798,2810,310,930,4064,5736,8136,1745,341,15048,1687
8,E23000002,Cumbria,37188,16833,3,4761,6218,5848,3,1712,151,6861,1460,914,546,761,101,191,1767,2581,5048,976,256,4664,687
9,E23000005,Greater Manchester,353951,134716,57,31087,55055,48429,88,11541,5383,97111,23013,17766,5247,25350,5901,3495,14282,25070,33071,7140,4153,51863,8973
10,E23000003,Lancashire,139489,61244,16,17722,22704,20780,22,5259,1030,35795,7801,5160,2641,7089,935,1011,7664,11295,17179,2659,1458,11385,3480
11,E23000004,Merseyside,165850,68720,17,15818,29162,23692,31,4752,1314,33594,6895,5088,1807,7124,2383,1771,6747,8674,15941,11901,1308,24809,3511
12,E12000003,Yorkshire and The Humber,582062,239186,68,62300,86324,90388,106,18955,5175,143901,30592,22362,8230,30839,4449,5778,31850,40393,63277,16043,4924,75274,15327
13,E23000012,Humberside,91851,36553,9,10946,13232,12352,14,3054,682,22696,4985,3758,1227,3323,399,1693,6060,6236,11602,1949,515,12062,2738
14,E23000009,North Yorkshire,47296,20488,11,7232,7628,5607,10,2118,273,11361,2020,1307,713,1471,254,1010,3140,3466,5696,1604,343,4640,773
15,E23000011,South Yorkshire,148565,55333,19,15588,20283,19430,13,4444,1660,42492,10726,7990,2736,11001,1048,1104,7903,10710,17396,4194,1692,16469,4885
16,E23000010,West Yorkshire,294350,126812,29,28534,45181,52999,69,9339,2560,67352,12861,9307,3554,15044,2748,1971,14747,19981,28583,8296,2374,42103,6931
17,E12000004,East Midlands,401701,161880,67,47539,58246,55981,47,16430,3384,105235,18745,13070,5675,21903,2714,5396,25054,31423,43719,13324,4325,43056,10348
18,E23000018,Derbyshire [note 5],85820,36760,18,9156,14440,13140,6,3475,629,19733,3811,2676,1135,4235,587,673,4354,6073,9148,2357,935,10636,2147
19,E23000021,Leicestershire,100474,39751,15,13352,11460,14913,11,4108,732,24506,4176,2946,1230,5760,695,1892,3629,8354,10760,3474,952,13785,2406
20,E23000020,Lincolnshire [note 6],53912,22250,13,6195,8564,7463,15,2419,338,14562,3067,2047,1020,2311,147,842,4060,4135,6263,1362,496,4918,1304
21,E23000022,Northamptonshire,61813,27350,11,7522,10972,8839,6,2921,737,15247,2850,1956,894,3635,338,563,3054,4807,6093,2080,776,5129,1480
22,E23000019,Nottinghamshire,99682,35769,10,11314,12810,11626,9,3507,948,31187,4841,3445,1396,5962,947,1426,9957,8054,11455,4051,1166,8588,3011
23,E12000005,West Midlands region,559878,247815,93,64611,91818,91222,71,20321,9583,149624,30001,22109,7892,44481,4908,4348,27085,38801,50223,11896,8037,52259,10120
24,E23000015,Staffordshire,70759,32516,9,8710,10627,13169,1,3210,675,18734,3255,2248,1007,3989,411,749,4436,5894,7775,1088,537,5090,1134
25,E23000017,Warwickshire,40185,16418,10,4495,6613,5286,14,1635,364,11715,2008,1404,604,3439,201,408,2127,3532,3956,1056,504,3666,871
26,E23000016,West Mercia,87285,38328,20,11118,13619,13547,24,4075,549,22992,4539,3255,1284,4410,431,620,6069,6923,8739,2162,858,8027,1555
27,E23000014,West Midlands,361649,160553,54,40288,60959,59220,32,11401,7995,96183,20199,15202,4997,32643,3865,2571,14453,22452,29753,7590,6138,35476,6560
28,E12000006,East ,481261,199246,74,49297,83818,65965,92,19553,3797,128761,20176,13936,6240,31437,4221,7691,27542,37694,47318,15831,4274,50928,11553
29,E23000026,Bedfordshire,51493,19025,11,4943,8111,5944,16,1715,582,16348,2830,1924,906,4764,424,644,3523,4163,4734,1828,453,5635,1173
30,E23000023,Cambridgeshire,67883,25314,5,5678,12114,7488,29,2662,650,20281,3222,1984,1238,4233,731,2859,3519,5717,7077,1925,701,7543,1730
31,E23000028,Essex,167091,73715,26,15833,29095,28747,14,6600,1380,41438,6566,4893,1673,11587,1237,1579,8811,11658,15375,5538,1324,18171,3550
32,E23000027,Hertfordshire,74930,27579,9,8763,12351,6437,19,2572,568,26604,3520,2439,1081,7142,1072,1029,6067,7774,7456,2590,640,5436,1485
33,E23000024,Norfolk,69226,31771,14,8311,12653,10782,11,3244,345,12727,2041,1354,687,1684,363,1014,3039,4586,7311,2262,639,8480,2447
34,E23000025,Suffolk,50638,21842,9,5769,9494,6567,3,2760,272,11363,1997,1342,655,2027,394,566,2583,3796,5365,1688,517,5663,1168
35,E12000007,London,835822,242824,124,76465,98062,68172,1,25232,24424,363814,54186,40328,13858,103141,46723,21074,35727,102963,53996,45730,6047,61916,11839
36,E23000034,City of London,5931,1073,0,406,566,100,1,117,104,2992,221,19,202,179,749,231,646,966,271,619,50,502,203
37,E23000001,Metropolitan Police,829891,241751,124,76059,97496,68072,0,25115,24320,360822,53965,40309,13656,102962,45974,20843,35081,101997,53725,45111,5997,61414,11636
38,E12000008,South East,722006,297625,67,78435,120923,98067,133,28691,4681,186025,29403,20773,8630,43405,6298,10938,40841,55140,74751,21984,6563,85937,15749
39,E23000030,Hampshire,173751,75532,17,21663,28432,25394,26,7321,1287,41290,8207,5952,2255,9769,1023,2577,8746,10968,15768,5378,2010,22449,2716
40,E23000032,Kent,180838,83393,15,18301,36038,28979,60,6886,1192,41327,6565,4838,1727,9105,992,1085,10859,12721,21810,4152,1370,14916,5792
41,E23000031,Surrey,71131,26775,3,7176,11621,7964,11,2512,380,20279,3584,2780,804,5571,561,1057,3275,6231,7714,2393,559,9127,1392
42,E23000033,Sussex,120155,46097,8,13818,18353,13892,26,5303,901,32217,4064,2398,1666,6365,956,2035,8337,10460,13272,3777,1541,14185,2862
43,E23000029,Thames Valley,176131,65828,24,17477,26479,21838,10,6669,921,50912,6983,4805,2178,12595,2766,4184,9624,14760,16187,6284,1083,25260,2987
44,E12000009,South West,379592,158603,62,47654,62550,48296,41,16900,3174,92518,17029,11315,5714,19365,2206,5502,19979,28437,45299,10612,3077,42153,7256
45,E23000036,Avon and Somerset,139404,54149,16,13391,22971,17770,1,5509,1599,36342,6647,4860,1787,8506,907,2610,7530,10142,14871,2939,828,20611,2556
46,E23000035,Devon and Cornwall,101323,46146,17,15988,17336,12781,24,5377,585,19227,3298,1585,1713,3302,510,481,4652,6984,13794,4211,1273,8470,2240
47,E23000039,Dorset,50890,20100,7,6229,7763,6099,2,2343,386,15321,2808,1876,932,3747,313,1147,2697,4609,6441,1134,287,4249,629
48,E23000037,Gloucestershire,47428,21036,19,6085,7239,7680,13,1926,299,11600,2636,1891,745,1839,279,584,2533,3729,5057,1193,323,4955,1039
49,E23000038,Wiltshire,40547,17172,3,5961,7241,3966,1,1745,305,10028,1640,1103,537,1971,197,680,2567,2973,5136,1135,366,3868,792
50,W92000004,WALES,269038,116098,34,29182,38850,47996,36,9957,1006,55082,10178,7009,3169,9981,1267,2331,13920,17405,31339,8457,1519,39704,5876
51,W15000004,Dyfed-Powys,42316,21216,7,4022,6908,10273,6,1667,59,6165,1258,892,366,630,145,142,1453,2537,4596,1606,214,5929,864
52,W15000002,Gwent [note 7],54490,21543,5,5844,7419,8268,7,1751,267,10896,2509,1809,700,2318,176,318,2192,3383,8102,1333,305,8849,1444
53,W15000001,North Wales,67683,32527,8,7178,11994,13340,7,2681,203,11200,2097,1463,634,1252,196,297,3338,4020,7471,1625,347,10148,1481
54,W15000003,South Wales,104549,40812,14,12138,12529,16115,16,3858,477,26821,4314,2845,1469,5781,750,1574,6937,7465,11170,3893,653,14778,2087
55,,British Transport Police,49508,10397,0,2859,7318,220,0,1632,1085,16314,1,1,0,1011,4446,4070,1067,5719,6907,2929,659,9160,425
